insert	skiplist 0.5	skiplist 0.1	skiplist 0.9	sortedarray	treap
10	0		0		0		0		0
11	0		0		0		0		0
12	0		0		0		0.015625	0
13	0		0		0		0.046875	0
14	0.015625	0		0		0.21875		0.015625
15	0.015625	0.015625	0.015625	0.921875	0.015625
16	0.03125		0.046875	0.046875	3.875		0.03125
17	0.0625		0.09375		0.109375	15.6875		0.046875
18	0.171875	0.21875		0.265625	62.7031		0.109375
19	0.390625	0.625		0.6875		249.953		0.28125
20	1.15625		1.65625		1.625		998.984		0.734375
21	3.5625		4.23438		3.60938		3918.62		2.0625
22	7.1875		10.0781		8.28125		15433.9		5.375
23	15.9062		26.0312		19.0469				11.3281
24	36.5625		55.5469		46.125				26.2656
25	95.6875		137.234		119.281				59.5
26	209.5		358.094		241.203				134.266
27	478.25								322.641
28									749.766


