search	skiplist 0.5	skiplist 0.1	skiplist 0.9	sortedarray	treap
10	0		0		0.015625	0.015625	0
11	0.015625	0.03125		0.03125		0.015625	0
12	0.015625	0.015625	0.03125		0.03125		0.015625
13	0.015625	0.03125		0.046875	0.03125		0.015625
14	0.015625	0.03125		0.046875	0.03125		0.015625
15	0.03125		0.046875	0.046875	0.03125		0.015625
16	0.046875	0.03125		0.0625		0.03125		0.03125
17	0.046875	0.0625		0.09375		0.03125		0.03125
18	0.0625		0.09375		0.09375		0.046875	0.046875
19	0.09375		0.140625	0.125		0.046875	0.0625
20	0.171875	0.203125	0.15625		0.046875	0.078125
21	0.203125	0.234375	0.171875	0.0625		0.109375
22	0.15625		0.296875	0.203125	0.0625		0.140625
23	0.1875		0.34375		0.21875				0.15625
24	0.25		0.359375	0.4375				0.171875
25	0.328125	0.609375	0.453125			0.1875
26	0.328125	0.59375		0.328125			0.21875
27	0.390625							0.265625
28									0.3125

